
book_id,genre,month,loan_duration,is_renewal
1,Fiction,InvalidMonth,-14,True
2,Science,Jan,7,False
3,Fiction,Feb,21,True
4,History,Feb,10,False
5,Fiction,Jan,10,False
6,Science,Feb,14,True
7,Biography,Mar,28,True
8,Fantasy,Mar,12,False
9,Fiction,Mar,18,True
10,Science,InvalidMonth,21,False
11,Mystery,Apr,7,True
12,Romance,Apr,10,False
13,Fiction,Apr,14,True
14,Science,Apr,28,False
15,Thriller,May,21,True
16,Science,May,14,False
17,Fiction,May,10,True
18,Art,May,35,True
19,History,Jun,20,False
20,Science,Jun,7,True
21,Fiction,Jun,18,True
22,Romance,Jun,12,False
23,Biography,Jul,25,False
24,Fantasy,Jul,15,True
25,Fiction,Jul,21,True
26,Science,Jul,10,False
27,Mystery,Aug,14,True
28,Romance,Aug,28,True
29,Fiction,Aug,7,False
30,Science,Aug,21,True
31,Thriller,Sep,10,True
32,Science,Sep,14,False
33,Fiction,Sep,18,True
34,Art,Sep,25,False
35,History,Oct,20,True
36,Science,Oct,28,False
37,Fiction,Oct,12,False
38,Romance,Oct,7,True
39,Biography,Nov,14,True
40,Fantasy,Nov,nan,nan
41,Fiction,nan,10,False
42,Science,Nov,18,True
43,Mystery,Dec,7,False
44,Romance,Dec,10,True
45,Fiction,Dec,14,True
46,Science,Dec,21,False
47,Thriller,Jan,28,True
48,Science,Jan,14,False
49,nan,Feb,21,True
50,History,Feb,7,True
51,Fiction,Mar,10,False
52,Science,Mar,14,nan
53,Biography,Apr,28,False
54,Fantasy,Apr,21,True
55,Art,May,35,True
