Area,Item,Element,Year,Unit,Value
Seychelles,"Peas, dry",Import Value,1982,1000 US$,0.0
Congo,"Flour, mustard",Import Value,1962,1000 US$,0.0
Zimbabwe,"Oil, maize",Export Value,2001,1000 US$,26.0
Saudi Arabia,Sugar refined,Import Value,2012,1000 US$,270964.0
Portugal,"Tomatoes, peeled",Export Quantity,1969,tonnes,1154.0
Saint Kitts and Nevis,Vanilla,Import Value,1984,1000 US$,
Morocco,"Cake, cottonseed",Import Value,1984,1000 US$,0.0
Caribbean,Textile Fibres,Import Quantity,1967,tonnes,24102.0
Bolivia (Plurinational State of),Cereals,Export Value,1978,1000 US$,4312.0
Guyana,Poultry Meat,Export Quantity,1996,tonnes,0.0
Poland,Currants,Import Value,1962,1000 US$,
Austria,Hay (unspecified),Import Quantity,2005,tonnes,30961.0
Kiribati,Bacon and ham,Import Quantity,2006,tonnes,0.0
Mongolia,Glucose and dextrose,Import Value,1961,1000 US$,
Dominican Republic,Canned Meat nes,Export Value,1962,1000 US$,0.0
Dominican Republic,"Spices, nes",Export Quantity,1985,tonnes,140.0
Egypt,Sugar refined,Export Quantity,1985,tonnes,116.0
Spain,"Skins, sheep, wet salted",Import Value,2004,1000 US$,0.0
Chile,"Juice, orange, concentrated",Export Quantity,1962,tonnes,
Maldives,"Meat, chicken",Import Value,1961,1000 US$,0.0
Romania,Bovine Meat,Export Value,1998,1000 US$,962.0
Spain,Beeswax,Export Quantity,1971,tonnes,243.0
Japan,"Fat, pigs",Export Value,2012,1000 US$,0.0
Swaziland,Rape+Mustard Seed,Import Value,2013,1000 US$,30.0
Malaysia,Fixed Vegetable Oils,Import Quantity,2005,tonnes,1024165.0
United Kingdom,"Meat, dried nes",Import Value,2012,1000 US$,145747.0
Norway,"Beans, green",Export Value,2003,1000 US$,
Costa Rica,Tobacco products nes,Import Value,1963,1000 US$,2.0
Greece,"Offals, sheep,edible",Export Quantity,2009,tonnes,181.0
Sri Lanka,Beer of barley,Export Value,1986,1000 US$,10.0
Honduras,Plums dried (prunes),Import Quantity,2012,tonnes,28.0
Bosnia and Herzegovina,"Oil, olive residues",Import Value,1996,1000 US$,
Occupied Palestinian Territory,Cotton waste,Import Value,1993,1000 US$,
Botswana,Plums and sloes,Export Quantity,1979,tonnes,0.0
Suriname,Sugar and Honey,Import Quantity,2007,tonnes,25981.0
Netherlands,Malt,Import Value,1969,1000 US$,5852.0
Brazil,Tobacco products nes,Export Quantity,1996,tonnes,2588.0
Ireland,"Beans, dry",Export Value,2011,1000 US$,121.0
Saint Vincent and the Grenadines,"Cigars, cheroots",Export Value,2007,1000 US$,0.0
Bolivia (Plurinational State of),Bread,Export Quantity,2011,tonnes,0.0
Bangladesh,"Cake, cottonseed",Import Value,1991,1000 US$,
Uruguay,Lemons and limes,Export Quantity,2002,tonnes,9518.0
Austria,"Eggs Liquid,Dried",Import Quantity,1963,tonnes,1200.0
Belize,Figs,Import Quantity,2010,tonnes,0.0
Turkey,"Fat, nes, prepared",Export Quantity,1976,tonnes,0.0
Syrian Arab Republic,Apples,Export Quantity,1966,tonnes,1084.0
Honduras,Figs,Export Value,2013,1000 US$,0.0
Cuba,Cauliflowers and broccoli,Import Value,2008,1000 US$,291.0
